##Before reduction a (w i,1 )#Before reduction a (w i,1 )#Before reduction a (w i,1 )#Before reduction a (w i,1 )#After reduction b (w i,const )#After reduction b (w i,const )#After reduction b (w i,const )#After reduction b (w i,const )#After reduction b (w i,const )
#Variable#Non-standardized#Non-standardized#Standardized c#SE#Non-standardized#Non-standardized#Standardized c#Standardized c#SE
Hotel A#Intercept#9.072###4.509#2.161#⁎###0.219
#Guest numbers#−0.003##−0.057#0.012#−0.001##−0.100##0.001
#R 2#0.003####0.010####
#F#0.080####2.249####
Hotel B#Intercept#5.291#⁎##1.782#0.517#⁎###0.156
#Guests numbers#0.006##0.187#0.006#0.002#⁎#0.249#⁎#0.001
#R 2#0.035####0.062####
#F#0.947####14.687#⁎###
Hotel C#Intercept#5.804#⁎##1.652#5.565#⁎###0.648
#Guests numbers#0.016##0.329#0.009#−0.004#⁎#−0.176#⁎#0.002
#R 2#0.108####0.031####
#F#3.156####7.041#⁎###
Hotel D#Intercept#7.261#⁎##1.438#3.770#⁎###0.132
#Guests numbers#−0.002##−0.106#0.004#0.001##0.099##0.001
#R 2#0.011####0.010####
#F#0.297####2.214#⁎###
